Step,Average_Reward
26100,-113.91401669176334
26300,-118.02977678932923
26200,-99.50269793873387
26400,-100.5185037772913
26300,-124.67071482627138
26500,-127.56218011587521
26400,-125.57076392232042
26600,-128.35953865038414
26500,-117.56239226149188
26700,-121.23296666091018
26600,-51.34972260158879
26800,-47.795592989219806
26700,-10.032985493463128
26900,-9.02596217378319
26800,-11.278402894168433
27000,-12.036906726866246
26900,-38.81713138610599
27100,-49.13255783611514
27000,-62.22263835439571
27200,-72.2395452617942
27100,-73.92485637162943
27300,-74.96390314766987
27200,-78.9706306076919
27400,-74.58881549327822
27300,-72.40320637869974
27500,-66.42097282835635
27400,-66.8858342121738
27600,-61.53345790987224
27500,-71.55844994169927
27700,-65.67265990447093
27600,-65.14988729992331
27800,-59.99568364220368
27700,-97.60067200440622
27900,-103.58245453014977
27800,-105.0339801050904
28000,-110.16719387797579
27900,-108.95753862812369
28100,-113.64284830177327
28000,-106.99694840038956
28200,-97.0655838988977
28100,-113.37290142763436
28300,-117.55416379651444
28200,-94.01892556580795
28400,-95.66124045221044
28300,-112.28191426622266
28500,-111.43972113195821
28400,-108.22411828628556
28600,-112.98056070105774
28500,-93.34537643074817
28700,-99.81126332170543
28600,-96.36358239912495
28800,-99.88636665030087
28700,-82.38353267952861
28900,-85.3526506416939
28800,-77.59914214367443
29000,-85.86405732294183
28900,-68.23344578686168
29100,-77.56769516259489
29000,-38.16209096468014
29200,-36.08874648292823
29100,-41.80945550222379
29300,-49.012230021731895
29200,-117.94954066955515
29400,-121.60834473880614
29300,-118.54006568191113
29500,-122.13145687386498
29400,-138.41173254426823
29600,-139.73462156586825
29500,-119.29708263621335
29700,-107.96156409517236
29600,-118.38689493790763
29800,-107.15568349794648
29700,-75.21451959091067
29900,-68.91141483760876
29800,-98.14069221754733
30000,-104.06238734805042
29900,-37.93023019608461
30100,-34.298818279438
30000,-21.058116967913026
30200,-20.925343515123966
30100,-5.3403606068162235
30300,-4.897981638053862
30200,-13.260412216211583
30400,-13.948758840136609
30300,-70.89346316910124
30500,-65.07284059771114
30400,-71.51192538399442
30600,-65.63002149709975
30500,-66.84847495037322
30700,-66.64817559005074
30600,-58.67766820241457
30800,-64.35443182162052
30700,-52.569693373062655
30900,-51.451611397485244
30800,-50.197263829622905
31000,-51.49836693324832
30900,-43.26935648757449
31100,-40.6129820936617
31000,-24.82175244990198
31200,-24.27131266240445
31100,-42.87760770790202
31300,-40.268039940648556
31200,-124.40069924366227
31400,-127.32333104235882
31300,-24.40255096176452
31500,-21.453789101625254
31400,-3.9232814454643217
31600,-3.273151918915699
31500,0.3332368681952271
31700,0.6122236487607988
31600,1.250142960824809
31800,1.1247158180872059
31700,1.137608094664053
31900,1.21965194820235
31800,1.1109749835534102
32000,1.124586554645909
31900,-0.7451629159698993
32100,-0.529688270105684
32000,0.7974130753805702
32200,0.6275497356649096
32100,0.8536805137703162
32300,0.7244849150380919
32200,0.5674155636693418
32400,0.7223786542765035
32300,0.3725162414651034
32500,0.5782637996888804
32400,-2.628594368036645
32600,-2.2516944120466276
32500,0.7352224267217767
32700,0.7221608449903062
32600,0.9886085087513722
32800,1.1365938322135811
32700,0.9348852590998801
32900,0.9714687762553216
32800,1.15005107892809
33000,1.0801530971111264
32900,1.3121838733340494
33100,1.3456069409911526
33000,-6.1665681189289465
33200,-5.696509746444888
33100,-8.293779207446333
33300,-8.61480705574515
33200,-5.191183163538358
33400,-5.004968385802557
33300,-14.117716172518639
33500,-15.061959670469845
33400,-12.67939188986103
33600,-13.74953129170305
33500,-8.248351426511983
33700,-7.5078762496929246
33600,-6.348147149297145
33800,-7.750004589583115
33700,-7.96681395222188
33900,-9.469378764430115
33800,-31.99493348274861
34000,-42.98907247200614
33900,-70.02412749229543
34100,-66.67999337620768
34000,-23.929445267260462
34200,-23.590160422039872
34100,-55.37842849040376
34300,-66.28912546394635
34200,-116.17901175910812
34400,-120.05438065975035
34300,-145.51467555957117
34500,-146.02862526210268
34400,-149.40515826466634
34600,-149.4733180459683
34500,-149.92111235323222
34700,-149.93015167315846
34600,-149.98953795531997
34800,-149.9907367459141
34700,-149.99861252828063
34900,-149.99877151135684
34800,-149.9998159941166
35000,-149.9998370783816
34900,-149.99997559722132
35100,-149.9999783934072
35000,-149.99999676371417
35200,-149.99999713454318
35100,-149.9999995708052
35300,-149.99999961998427
35200,-149.99999994308027
35400,-149.99999994960234
35300,-149.99999999245122
35500,-149.9999999933162
35400,-149.9999999989988
35600,-149.99999999911347
35500,-149.99999999986704
35700,-149.99999999988225
35600,-149.99999999998224
35800,-149.99999999998423
35700,-149.99999999999753
35900,-149.9999999999978
35800,-149.99999999999918
36000,-149.99999999999918
35900,-149.99999999999918
36100,-149.99999999999918
36000,-149.99999999999918
36200,-149.99999999999918
36100,-149.99999999999918
36300,-149.99999999999918
36200,-149.99999999999918
36400,-149.99999999999918
36300,-149.99999999999918
36500,-149.99999999999918
36400,-149.99999999999918
36600,-149.99999999999918
36500,-149.99999999999918
36700,-149.99999999999918
36600,-149.99999999999918
36800,-149.99999999999918
36700,-149.99999999999918
36900,-149.99999999999918
36800,-149.99999999999918
37000,-149.99999999999918
36900,-149.99999999999918
37100,-149.99999999999918
37000,-149.99999999999918
37200,-149.99999999999918
37100,-149.99999999999918
37300,-149.99999999999918
37200,-149.99999999999918
37400,-149.99999999999918
37300,-149.99999999999918
37500,-149.99999999999918
37400,-149.99999999999918
37600,-149.99999999999918
37500,-149.99999999999918
37700,-149.99999999999918
37600,-149.99999999999918
37800,-149.99999999999918
37700,-149.99999999999918
37900,-149.99999999999918
37800,-149.99999999999918
38000,-149.99999999999918
37900,-149.99999999999918
38100,-149.99999999999918
38000,-149.99999999999918
38200,-149.99999999999918
38100,-149.99999999999918
38300,-149.99999999999918
38200,-149.99999999999918
38400,-149.99999999999918
38300,-149.99999999999918
38500,-149.99999999999918
38400,-149.99999999999918
38600,-149.99999999999918
38500,-149.99999999999918
38700,-149.99999999999918
38600,-149.99999999999918
38800,-149.99999999999918
38700,-149.99999999999918
38900,-149.99999999999918
38800,-149.99999999999918
39000,-149.99999999999918
38900,-149.99999999999918
39100,-149.99999999999918
39000,-149.99999999999918
39200,-149.99999999999918
