episode,reward,total_env_steps,ep_steps,avg_time_ms,goal_x,goal_y
277,264.86,542629,719,0.3526,-4.0477,-2.2322
278,-542.01,546629,4000,0.3521,-4.3884,-3.9179
279,-835.88,550629,4000,0.3619,-3.7699,-3.2745
280,254.58,551480,851,0.3625,-3.0339,-3.2668
281,-537.11,555480,4000,0.3529,-4.2897,-3.8908
282,158.43,555539,59,0.3515,-2.391,-2.906
283,581.85,557728,2189,0.3527,-2.8771,-2.8245
284,284.53,558645,917,0.3505,-2.5927,-4.3547
285,-18.26,562645,4000,0.3577,-3.5835,-3.1512
286,576.36,563847,1202,0.3536,-3.6539,-2.3888
287,297.69,564143,296,0.3597,-3.2936,-2.5784
288,272.46,564376,233,0.3679,-2.37,-3.238
289,527.07,566712,2336,0.3547,-2.2261,-3.0322
290,165.8,568436,1724,0.351,-2.3743,-3.6485
291,315.88,569137,701,0.3533,-3.253,-3.1715
292,282.09,569982,845,0.3487,-4.2376,-3.5036
293,154.61,570035,53,0.3346,-2.2067,-2.9229
294,99.09,570760,725,0.3608,-4.0562,-3.6529
295,414.36,571848,1088,0.3555,-4.021,-4.4379
296,560.39,572849,1001,0.3671,-2.1813,-3.3795
297,-1205.03,576849,4000,0.3528,-3.7312,-3.0038
298,173.09,578699,1850,0.3542,-4.4817,-3.8049
299,396.06,579307,608,0.3577,-2.7424,-2.9156
300,204.16,579438,131,0.34,-2.0455,-2.9491
301,208.92,581342,1904,0.3616,-3.3062,-2.5964
302,198.93,581491,149,0.3562,-2.2417,-2.6983
303,214.88,581637,146,0.3673,-2.092,-2.545
304,1131.82,584135,2498,0.3508,-2.333,-4.2147
305,206.17,584278,143,0.3736,-2.669,-3.3998
306,194.77,584454,176,0.3994,-3.1172,-2.8647
307,101.87,584455,1,0.4114,-2.0755,-2.0386
308,326.65,585327,872,0.396,-3.7794,-2.6656
309,467.78,586793,1466,0.3931,-2.625,-3.6338
310,322.73,589024,2231,0.3769,-4.1903,-4.3976
311,1198.2,590682,1658,0.3657,-2.5566,-3.2758
312,168.81,590762,80,0.3755,-2.0361,-3.3376
313,221.78,591034,272,0.3402,-2.0552,-3.4711
314,-1202.91,595034,4000,0.3548,-2.5158,-4.288
315,172.92,595135,101,0.3559,-3.1113,-2.4949
316,101.35,595136,1,0.4065,-2.1882,-2.4435
317,555.03,598651,3515,0.3534,-4.4076,-3.5682
318,-1209.01,602651,4000,0.585,-4.3783,-4.2268
319,1358.72,606651,4000,0.5827,-2.8117,-2.7169
320,368.04,607910,1259,0.5896,-2.5657,-2.3364
321,-1253.66,611910,4000,0.5144,-2.6514,-2.4978
322,-50.49,615910,4000,0.5112,-4.3776,-3.9137
323,260.6,616287,377,0.3731,-2.9453,-2.3547
